"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1977",5.49118565088496,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1978",6.08219662260499,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1979",6.3379356795251,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1980",6.69034331737035,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1981",8.58387951760216,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1982",10.0735551260724,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1983",10.7416433077094,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1984",10.8249972796707,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1985",10.1167439252689,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1986",10.0500325562969,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1987",9.80778608774703,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1988",8.83416257763509,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1989",7.36625791433188,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1990",6.55826721730429,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1991",6.45005922480316,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1992",7.09202028064157,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1993",8.62726514760067,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1994",9.75001091262263,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1995",9.68344799717046,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1996",9.55046866351063,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1997",9.21706416502457,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1998",9.34119674203131,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","1999",8.42584885199401,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2000",6.85780440765975,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2001",6.56995147962516,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2002",7.52562293976155,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2003",8.17540938683343,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2004",8.38539642964489,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2005",8.47498573246763,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2006",8.26668715785811,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2007",7.49170464267707,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2008",6.96824526368544,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2009",7.9917667948946,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2010",8.3915971232921,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2011",7.21730704272007,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2012",7.65190638835494,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2013",8.55005144345394,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2014",8.66668649158554,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2015",8.65888335166969,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2016",7.85022163776948,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2017",7.10865291206367,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2018",5.96670803423281,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2019",5.37474525359989,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2020",5.56942582090885,
"BEL","UNEMPFORECAST","TOT","PC_LF","A","2021",6.26544705247055,
